product_id,product_name,category,price,image_url,description,size
top92,LAUNDRY SHIRT (WHITE),상의,"56,581 ~ 59,000원",https://image.msscdn.net/images/goods_img/20210817/2065703/2065703_2_500.jpg,https://www.musinsa.com/app/goods/2065703,"['S', 'M', 'L', 'XL', 'XXL']"
top93,폰테 크루 넥 긴팔 티셔츠 [블랙],상의,"21,494 ~ 22,390원",https://image.msscdn.net/images/goods_img/20191016/1190268/1190268_4_500.jpg,https://www.musinsa.com/app/goods/1190268,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top94,[2PACK] 에디 오버핏 반팔티셔츠 KJST2189,상의,"29,800원",https://image.msscdn.net/images/goods_img/20190319/987149/987149_4_500.jpg,https://www.musinsa.com/app/goods/987149,"['M', 'L', 'XL', '2XL']"
top95,(24SS) UNIVERSITY DAN T-SHIRT WHITE / RED,상의,"20,412 ~ 25,200원",https://image.msscdn.net/images/goods_img/20210304/1827193/1827193_17097744666091_500.jpg,https://www.musinsa.com/app/goods/1827193,"['WS', 'S', 'M', 'L', 'XL', 'XXL']"
top96,[3-PACK]베이직 트래블러 피그먼트 스웨트셔츠,상의,"52,900원",https://image.msscdn.net/images/goods_img/20210226/1817394/1817394_17152436181527_500.jpg,https://www.musinsa.com/app/goods/1817394,"['SMALL', 'MEDIUM', 'LARGE', 'EXTRA LARGE']"
top97,[2PACK] 수피마 코튼 티셔츠,상의,"41,800원",https://image.msscdn.net/images/goods_img/20220411/2479911/2479911_17153033789269_500.jpg,https://www.musinsa.com/app/goods/2479911,"['S', 'M', 'L', 'XL']"
top98,하프 폴라 니트 티셔츠 블랙,상의,"22,441 ~ 23,400원",https://image.msscdn.net/images/goods_img/20170927/645611/645611_16916541203586_500.jpg,https://www.musinsa.com/app/goods/645611,"['M', 'L', 'XL']"
top99,헤비 코튼 오버 럭비 맨투맨_Midnight Blue,상의,"39,800원",https://image.msscdn.net/images/goods_img/20210722/2038497/2038497_16933617758610_500.jpg,https://www.musinsa.com/app/goods/2038497,"['S', 'M', 'L']"
top100,리즌 트레일 피그먼트 반팔티 블랙 차콜,상의,"21,212 ~ 25,900원",https://image.msscdn.net/images/goods_img/20230308/3132887/3132887_17155608792609_500.jpg,https://www.musinsa.com/app/goods/3132887,"['SMALL', 'MEDIUM', 'LARGE', 'EXTRA LARGE']"
top101,폰테 터틀 넥 긴팔 티셔츠 [블랙],상의,"25,824 ~ 26,900원",https://image.msscdn.net/images/goods_img/20191016/1190282/1190282_3_500.jpg,https://www.musinsa.com/app/goods/1190282,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top102,[니티드X깡스타일리스트] 코튼 미니멀 라운드 니트 BLACK,상의,"64,619 ~ 78,900원",https://image.msscdn.net/images/goods_img/20220831/2757451/2757451_16926864510332_500.jpg,https://www.musinsa.com/app/goods/2757451,"['M', 'L', 'XL']"
top103,[Mmlg] 19MG HOOD (EVERY GREY),상의,"52,751 ~ 57,400원",https://image.msscdn.net/images/goods_img/20170905/624932/624932_2_500.jpg,https://www.musinsa.com/app/goods/624932,"['S (기모X)', 'M (기모X)', 'L (기모X)', 'S', 'M', 'L']"
top104,소프트코튼 드랍숄더 와플 니트 BLACK,상의,"45,766 ~ 49,800원",https://image.msscdn.net/images/goods_img/20170822/606067/606067_17072895569483_500.jpg,https://www.musinsa.com/app/goods/606067,"['M', 'L', 'XL']"
top105,로그 오버핏 기모 후드 블랙 YHHD2302,상의,"34,830 ~ 37,900원",https://image.msscdn.net/images/goods_img/20200922/1615822/1615822_2_500.jpg,https://www.musinsa.com/app/goods/1615822,"['M', 'L', 'XL', '2XL']"
top106,릴렉스 핏 옥스포드 셔츠 [블루],상의,"26,006 ~ 27,090원",https://image.msscdn.net/images/goods_img/20180910/854339/854339_17171282711855_500.jpg,https://www.musinsa.com/app/goods/854339,"['S', 'M', 'L', 'XL', '2XL', '3XL']"
top107,빅 트위치 로고 티셔츠 블랙,상의,"30,419 ~ 33,100원",https://image.msscdn.net/images/goods_img/20210215/1793420/1793420_17083202440021_500.jpg,https://www.musinsa.com/app/goods/1793420,"['WS', 'S', 'M', 'L', 'XL', 'XXL']"
top108,[2PACK] 헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 2PACK KJMT2369 / KJMT2400,상의,"53,608 ~ 55,900원",https://image.msscdn.net/images/goods_img/20210825/2085371/2085371_1_500.jpg,https://www.musinsa.com/app/goods/2085371,"['M(쭈리)', 'L(쭈리)', 'XL(쭈리)', '2XL(쭈리)']"
top109,Vintage Black dot Stripe shirt S22,상의,"70,303 ~ 76,500원",https://image.msscdn.net/images/goods_img/20180810/826451/826451_17194483451668_500.jpg,https://www.musinsa.com/app/goods/826451,"['S', 'M', 'L', 'XL']"
top110,[SET]아이스버그 반팔 STST3279 + 스플래쉬 반팔 STST3278,상의,"38,168 ~ 39,800원",https://image.msscdn.net/images/goods_img/20200428/1425234/1425234_17116742213452_500.jpg,https://www.musinsa.com/app/goods/1425234,"['M', 'L', 'XL', '2XL']"
top111,TAG OG HOODIE - BLACK,상의,"76,816 ~ 80,100원",https://image.msscdn.net/images/goods_img/20210811/2058188/2058188_17049555616065_500.jpg,https://www.musinsa.com/app/goods/2058188,"['S', 'M', 'L', 'XL']"
top112,레이어드 슬리브리스 탑_긴 기장 [화이트],상의,"12,854 ~ 13,390원",https://image.msscdn.net/images/goods_img/20200402/1382694/1382694_17048654361116_500.jpg,https://www.musinsa.com/app/goods/1382694,"['XS', 'S', 'M', 'L', 'XL', '2XL']"
top113,베츠 어센틱 맨투맨 블랙,상의,"34,500원",https://image.msscdn.net/images/goods_img/20200820/1557509/1557509_17036407355327_500.jpg,https://www.musinsa.com/app/goods/1557509,"['S', 'M', 'L', 'XL']"
top114,Wooltan Check Shirts (Cream),상의,"33,469 ~ 34,900원",https://image.msscdn.net/images/goods_img/20181025/890749/890749_17189525847174_500.jpg,https://www.musinsa.com/app/goods/890749,"['48(95)', '50(100)']"
top115,[코튼100]소프트 베이직 터틀넥 니트 9 COLOR COOSKT006,상의,"33,000원",https://image.msscdn.net/images/goods_img/20171019/655833/655833_17171217241080_500.jpg,https://www.musinsa.com/app/goods/655833,"['구분', 'XS', 'S', 'M', 'L', 'XL', 'XXL']"
top116,[블랙]B-스테디 하프 폴라넥-블랙,상의,"18,288 ~ 19,900원",https://image.msscdn.net/images/goods_img/20181010/876277/876277_10_500.jpg,https://www.musinsa.com/app/goods/876277,"['1', '2', '3', '4']"
